event_id;event_name;event_time_real;event_counter;comment
6014;Christopher Lee Begin;00:00:19.502;1;empty
6015;Christopher Lee End;00:00:20.597;1;empty
6014;Christopher Lee Begin;00:03:01.317;2;empty
6015;Christopher Lee End;00:03:02.353;2;empty
6014;Christopher Lee Begin;00:03:40.957;3;empty
6015;Christopher Lee End;00:03:42.899;3;empty
6014;Christopher Lee Begin;00:05:16.096;4;empty
6015;Christopher Lee End;00:05:18.014;4;empty
6014;Christopher Lee Begin;00:06:05.936;5;empty
6015;Christopher Lee End;00:06:07.977;5;empty
6014;Christopher Lee Begin;00:06:18.611;6;empty
6015;Christopher Lee End;00:06:18.611;6;empty
6014;Christopher Lee Begin;00:06:49.377;7;empty
6015;Christopher Lee End;00:06:50.966;7;empty
6014;Christopher Lee Begin;00:09:53.049;8;empty
6015;Christopher Lee End;00:09:54.730;8;empty
6014;Christopher Lee Begin;00:12:35.318;9;empty
6015;Christopher Lee End;00:12:37.100;9;empty
6014;Christopher Lee Begin;00:12:52.206;10;empty
6015;Christopher Lee End;00:12:52.206;10;empty
6014;Christopher Lee Begin;00:14:16.066;11;empty
6015;Christopher Lee End;00:14:19.222;11;empty
6014;Christopher Lee Begin;00:14:40.804;12;empty
6015;Christopher Lee End;00:14:40.804;12;empty
6014;Christopher Lee Begin;00:15:04.302;13;empty
6015;Christopher Lee End;00:15:05.631;13;empty
6014;Christopher Lee Begin;00:15:41.330;14;empty
6015;Christopher Lee End;00:15:41.330;14;empty
6014;Christopher Lee Begin;00:17:09.595;15;empty
6015;Christopher Lee End;00:17:09.595;15;empty
6014;Christopher Lee Begin;00:17:27.727;16;empty
6015;Christopher Lee End;00:17:27.727;16;empty
6014;Christopher Lee Begin;00:19:24.597;17;empty
6015;Christopher Lee End;00:19:24.597;17;empty
6014;Christopher Lee Begin;00:20:20.734;18;empty
6015;Christopher Lee End;00:20:22.442;18;empty
6014;Christopher Lee Begin;00:20:51.590;19;empty
6015;Christopher Lee End;00:20:54.971;19;empty
6014;Christopher Lee Begin;00:21:56.696;20;empty
6015;Christopher Lee End;00:21:59.401;20;empty
6014;Christopher Lee Begin;00:22:29.253;21;empty
6015;Christopher Lee End;00:22:29.253;21;empty
6014;Christopher Lee Begin;00:22:37.855;22;empty
6015;Christopher Lee End;00:22:39.659;22;empty
6014;Christopher Lee Begin;00:24:40.866;23;empty
6015;Christopher Lee End;00:24:40.866;23;empty
6014;Christopher Lee Begin;00:25:29.853;24;empty
6015;Christopher Lee End;00:25:29.853;24;empty
6014;Christopher Lee Begin;00:29:30.824;25;empty
6015;Christopher Lee End;00:29:30.824;25;empty
;;;;
;;;;
;;;;
Statistic:;;;;
Type:;Count:;;;
New Event;0;;;
New Event;0;;;
New Event;0;;;
New Event;0;;;
New Event;0;;;
Niklas Welzlein End;25;;;
Niklas Welzlein Begin;25;;;
;0;;;
;0;;;
;0;;;
;0;;;
;0;;;
;0;;;
;0;;;
New Event;0;;;
;0;;;
;0;;;
;0;;;
